🕘️更新时间,#genre#
2026-01-10 18:56:48,http://115.52.127.45:880/CH001.m3u8

📚央视📚,#genre#
CCTV-1,http://115.52.127.45:880/CH001.m3u8
CCTV-1,http://go.bkpcp.top/mg/cctv1
CCTV-1,http://m.061899.xyz/mg/cctv1
CCTV-1,https://migu.188766.xyz/?migutoken=380bb918588e69db54983e7d822032cc&id=CCTV1&type=yy
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1$订阅源
CCTV-1,http://42.237.223.71:8899/rtp/225.1.4.73:1102$本地源
CCTV-1,http://lihetl.com:9527/rtp/232.0.0.27:8808$订阅源
CCTV-2,http://115.52.127.45:880/CH002.m3u8
CCTV-2,http://m.061899.xyz/mg/cctv2
CCTV-2,http://go.bkpcp.top/mg/cctv2
CCTV-2,https://migu.188766.xyz/?migutoken=e42d95f45b5d155af24df6b1b6bf518a&id=CCTV2&type=yy
CCTV-2,https://iptv.catvod.com/live.php?id=CCTV2$订阅源
CCTV-2,http://iptv.4666888.xyz/iptv2A.php?id=8$订阅源
CCTV-2,http://38.75.136.137:98/gslb/dsdqca/cctv2hd.m3u8?auth=test20251009$订阅源
CCTV-2,http://42.237.223.71:8899/rtp/225.1.4.74:1103$本地源
CCTV-2,http://lihetl.com:9527/rtp/232.0.0.132:9144$订阅源
CCTV-3,http://115.52.127.45:880/CH003.m3u8
CCTV-3,http://go.bkpcp.top/mg/cctv3
CCTV-3,http://m.061899.xyz/mg/cctv3
CCTV-3,https://migu.188766.xyz/?migutoken=370155bf81d20351917b85b0c8b49b37&id=CCTV3&type=yy
CCTV-3,http://23.237.228.134/live5/CCTV3.m3u8$订阅源
CCTV-3,https://iptv.catvod.com/live.php?id=CCTV3$订阅源
CCTV-3,http://38.75.136.137:98/gslb/dsdqca/cctv3hd.m3u8?auth=test20251009$订阅源
CCTV-3,http://42.237.223.71:8899/rtp/225.1.4.158:1194$本地源
CCTV-3,http://iptv.4666888.xyz/iptv2A.php?id=9$订阅源
CCTV-4,http://115.52.127.45:880/CH004.m3u8
CCTV-4,http://go.bkpcp.top/mg/cctv4
CCTV-4,http://m.061899.xyz/mg/cctv4
CCTV-4,https://migu.188766.xyz/?migutoken=0ef1c998369a238cdcb6d4f112032151&id=CCTV4&type=yy
CCTV-4,https://migu.188766.xyz/?migutoken=9661567aed2227822645c1fe94b97993&id=CCTV4%E6%AC%A7%E6%B4%B2&type=yy
CCTV-4,https://migu.188766.xyz/?migutoken=23007688fc75bbf874b66f0d610eaf5c&id=CCTV4%E7%BE%8E%E6%B4%B2&type=yy
CCTV-4,https://iptv.catvod.com/live.php?id=CCTV4$订阅源
CCTV-4,http://38.75.136.137:98/gslb/dsdqbv/cctv4hd.m3u8?auth=test20251009$订阅源
CCTV-4,https://live-play-hls.cctvnews.cctv.com/CCTVChannel/channel_cctv4_mbd.m3u8?auth_key=1768050000-1-b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c-1d183fad22fc5b55e48efcff68acb197&yid=b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c$订阅源
CCTV-4,http://42.237.223.71:8899/rtp/225.1.5.31:1342$本地源
CCTV-5,http://115.52.127.45:880/CH005.m3u8
CCTV-5,http://m.061899.xyz/mg/cctv5
CCTV-5,http://go.bkpcp.top/mg/cctv5
CCTV-5,https://migu.188766.xyz/?migutoken=c8e0133967a0e288f7032f0e27300aa3&id=CCTV5&type=yy
CCTV-5,https://migu.188766.xyz/?migutoken=2e433173463e31485c5182c461feb0ea&id=CCTV5p&type=yy
CCTV-5,http://yp.qqqtv.top/1/api.php?id=CCTV-5%2BHD&auth=666858$订阅源
CCTV-5,http://38.75.136.137:98/gslb/dsdqca/cctv5hd.m3u8?auth=test20251009$订阅源
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV5$订阅源
CCTV-5,http://23.237.228.134/live5/CCTV5p.m3u8$订阅源
CCTV-5,http://27.41.245.32:801/hls/5/index.m3u8$订阅源
CCTV-5+,http://115.52.127.45:880/CH094.m3u8
CCTV-5+,http://m.061899.xyz/mg/cctv5p
CCTV-5+,http://go.bkpcp.top/mg/cctv5p
CCTV-5+,https://iptv.catvod.com/live.php?id=CCTV5%2B$订阅源
CCTV-6,http://go.bkpcp.top/mg/cctv6
CCTV-6,http://m.061899.xyz/mg/cctv6
CCTV-6,http://115.52.127.45:880/CH006.m3u8
CCTV-6,https://migu.188766.xyz/?migutoken=e0ff873c151bdf4bd3106b73332e22e1&id=CCTV6&type=yy
CCTV-6,https://iptv.catvod.com/live.php?id=CCTV6$订阅源
CCTV-6,http://yp.qqqtv.top/1/api.php?id=CCTV-6HD&auth=666858$订阅源
CCTV-6,http://38.75.136.137:98/gslb/dsdqbv/cctv6hd.m3u8?auth=test20251009$订阅源
CCTV-6,http://42.237.223.71:8899/rtp/225.1.4.160:1196$本地源
CCTV-6,http://43.251.226.89:8080/play/3.m3u8$订阅源
CCTV-6,http://lihetl.com:9527/rtp/232.0.0.194:9206$订阅源
CCTV-7,http://115.52.127.45:880/CH007.m3u8
CCTV-7,http://m.061899.xyz/mg/cctv7
CCTV-7,http://go.bkpcp.top/mg/cctv7
CCTV-7,https://migu.188766.xyz/?migutoken=5f719707ae3a21e825ca5a1f5cc797fd&id=CCTV7&type=yy
CCTV-7,https://iptv.catvod.com/live.php?id=CCTV7$订阅源
